ts,worker,op,key,node,success,versions_or_vc
2025-12-11T21:01:10.371093,1,READ,892,127.0.0.1:60006,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765454469.2057269}]"
2025-12-11T21:01:10.373000,3,READ,277,127.0.0.1:60006,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765454463.004787}]"
2025-12-11T21:01:10.373942,9,READ,253,127.0.0.1:60004,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765454462.365382}]"
2025-12-11T21:01:10.376123,4,READ,76,127.0.0.1:60002,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765454460.3190331}]"
2025-12-11T21:01:10.383344,7,READ,973,127.0.0.1:60007,True,"[{""value"": ""INIT"", ""vc"": {""node0"": 2}, ""ts"": 1765454469.949363}]"
2025-12-11T21:01:10.384231,0,READ,125,127.0.0.1:60005,True,"[{""value"": ""INIT"", ""vc"": {""node8"": 2}, ""ts"": 1765454460.9464178}]"
2025-12-11T21:01:10.385121,8,READ,677,127.0.0.1:60007,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765454466.8404639}]"
2025-12-11T21:01:10.386286,6,READ,215,127.0.0.1:60000,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765454462.1978261}]"
2025-12-11T21:01:10.411273,5,READ,13,127.0.0.1:60004,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765454460.090477}]"
2025-12-11T21:01:10.430097,3,READ,360,127.0.0.1:60003,True,"[{""value"": ""INIT"", ""vc"": {""node3"": 2}, ""ts"": 1765454463.292476}]"
2025-12-11T21:01:10.436637,2,WRITE,36,127.0.0.1:60005,True,"{""value"": ""27439450"", ""vc"": {""node3"": 2, ""node5"": 2}, ""ts"": 1765454470.364824}"
2025-12-11T21:01:10.443445,1,READ,310,127.0.0.1:60009,True,"[{""value"": ""INIT"", ""vc"": {""node8"": 2}, ""ts"": 1765454462.469454}]"
2025-12-11T21:01:10.444663,8,READ,912,127.0.0.1:60005,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765454469.812138}]"
2025-12-11T21:01:10.446291,7,READ,325,127.0.0.1:60005,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765454463.3000078}]"
2025-12-11T21:01:10.447337,9,READ,844,127.0.0.1:60000,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765454469.1902049}]"
2025-12-11T21:01:10.452099,4,READ,883,127.0.0.1:60004,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765454468.9249642}]"
