ts,worker,op,key,node,success,versions_or_vc
2025-12-12T02:08:41.895562,77,READ,61,127.0.0.1:40013,True,"[{""value"": ""INIT"", ""vc"": {""node12"": 2}, ""ts"": 1765523313.2185795}]"
2025-12-12T02:08:41.897403,57,WRITE,129,127.0.0.1:40010,True,"{""value"": ""683257843"", ""vc"": {""node9"": 2, ""node10"": 2}, ""ts"": 1765523321.770313}"
2025-12-12T02:08:41.970090,78,READ,72,127.0.0.1:40007,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765523313.3177059}]"
2025-12-12T02:08:41.972479,27,READ,126,127.0.0.1:40002,True,"[{""value"": ""INIT"", ""vc"": {""node16"": 2}, ""ts"": 1765523315.8490107}]"
2025-12-12T02:08:42.102319,98,READ,176,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node3"": 2}, ""ts"": 1765523314.859709}]"
2025-12-12T02:08:42.139422,54,READ,193,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765523316.8312573}]"
2025-12-12T02:08:42.141887,9,READ,39,127.0.0.1:40012,True,"[{""value"": ""INIT"", ""vc"": {""node8"": 2}, ""ts"": 1765523313.8646922}]"
2025-12-12T02:08:42.145069,0,READ,76,127.0.0.1:40013,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765523314.1439836}]"
2025-12-12T02:08:42.170172,59,READ,86,127.0.0.1:40014,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765523314.9905968}]"
2025-12-12T02:08:42.317283,89,READ,104,127.0.0.1:40003,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765523313.8455014}]"
2025-12-12T02:08:42.319383,7,WRITE,117,127.0.0.1:40007,True,"{""value"": ""492666986"", ""vc"": {""node9"": 2, ""node7"": 2}, ""ts"": 1765523322.078915}"
2025-12-12T02:08:42.342772,96,READ,91,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765523314.0923572}]"
2025-12-12T02:08:42.361908,35,READ,187,127.0.0.1:40006,True,"[{""value"": ""167527736"", ""vc"": {""node16"": 2}, ""ts"": 1765523321.9676037}]"
2025-12-12T02:08:42.362584,44,WRITE,187,127.0.0.1:40016,True,"{""value"": ""167527736"", ""vc"": {""node16"": 2}, ""ts"": 1765523321.9676037}"
2025-12-12T02:08:42.375674,6,WRITE,110,127.0.0.1:40009,True,"{""value"": ""4947485"", ""vc"": {""node1"": 2, ""node9"": 2}, ""ts"": 1765523321.9771752}"
2025-12-12T02:08:42.385564,30,READ,57,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765523313.3690486}]"
2025-12-12T02:08:42.410926,33,READ,70,127.0.0.1:40002,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765523316.0539963}]"
