ts,worker,op,key,node,success,versions_or_vc
2025-12-12T02:55:45.824607,7,WRITE,145,127.0.0.1:40007,True,"{""value"": ""280232842"", ""vc"": {""node13"": 2, ""node7"": 2}, ""ts"": 1765526145.6059144}"
2025-12-12T02:55:45.893188,35,WRITE,31,127.0.0.1:40010,True,"{""value"": ""253220841"", ""vc"": {""node16"": 2, ""node10"": 2}, ""ts"": 1765526145.771723}"
2025-12-12T02:55:45.895936,17,READ,92,127.0.0.1:40018,True,"[{""value"": ""INIT"", ""vc"": {""node15"": 2}, ""ts"": 1765526138.1886537}]"
2025-12-12T02:55:45.963580,11,READ,135,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765526141.720793}]"
2025-12-12T02:55:45.966456,27,READ,122,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526143.021814}]"
2025-12-12T02:55:45.975894,12,READ,175,127.0.0.1:40014,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765526143.0098825}]"
2025-12-12T02:55:46.024400,4,READ,155,127.0.0.1:40010,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765526141.877388}]"
2025-12-12T02:55:46.025049,9,READ,65,127.0.0.1:40010,True,"[{""value"": ""INIT"", ""vc"": {""node15"": 2}, ""ts"": 1765526138.1919627}]"
2025-12-12T02:55:46.034638,21,READ,155,127.0.0.1:40000,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765526141.877388}]"
2025-12-12T02:55:46.171287,42,READ,71,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526141.3439758}]"
2025-12-12T02:55:46.206134,8,READ,181,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765526142.377915}]"
2025-12-12T02:55:46.209670,22,READ,33,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765526142.197192}]"
2025-12-12T02:55:46.211915,45,READ,85,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node18"": 2}, ""ts"": 1765526138.7029085}]"
2025-12-12T02:55:46.229206,29,READ,157,127.0.0.1:40006,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765526141.750839}]"
2025-12-12T02:55:46.240392,24,READ,113,127.0.0.1:40011,True,"[{""value"": ""INIT"", ""vc"": {""node16"": 2}, ""ts"": 1765526142.2748077}]"
2025-12-12T02:55:46.252438,27,READ,82,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node6"": 2}, ""ts"": 1765526138.975054}]"
2025-12-12T02:55:46.254767,31,WRITE,160,127.0.0.1:40018,True,"{""value"": ""269474757"", ""vc"": {""node8"": 2, ""node18"": 2}, ""ts"": 1765526145.9859197}"
2025-12-12T02:55:46.274313,11,READ,182,127.0.0.1:40007,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765526142.4602954}]"
2025-12-12T02:55:46.276546,7,READ,87,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node10"": 2}, ""ts"": 1765526139.6257331}]"
2025-12-12T02:55:46.283367,1,READ,122,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526143.021814}]"
2025-12-12T02:55:46.284887,16,READ,66,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765526138.6271782}]"
2025-12-12T02:55:46.338364,20,READ,149,127.0.0.1:40005,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765526142.2539096}]"
2025-12-12T02:55:46.412891,0,WRITE,95,127.0.0.1:40002,True,"{""value"": ""163874277"", ""vc"": {""node1"": 2, ""node2"": 2}, ""ts"": 1765526145.9456117}"
2025-12-12T02:55:46.488815,44,READ,42,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526141.94778}]"
2025-12-12T02:55:46.521582,38,WRITE,109,127.0.0.1:40001,True,"{""value"": ""924038001"", ""vc"": {""node19"": 2, ""node1"": 2}, ""ts"": 1765526146.2837086}"
2025-12-12T02:55:46.529310,15,WRITE,181,127.0.0.1:40000,True,"{""value"": ""676049213"", ""vc"": {""node4"": 2, ""node0"": 2}, ""ts"": 1765526146.0321681}"
2025-12-12T02:55:46.546461,19,READ,47,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765526140.6038125}]"
2025-12-12T02:55:46.561196,10,READ,2,127.0.0.1:40008,True,"[{""value"": ""INIT"", ""vc"": {""node3"": 2}, ""ts"": 1765526139.1978967}]"
2025-12-12T02:55:46.582500,42,READ,79,127.0.0.1:40012,True,"[{""value"": ""INIT"", ""vc"": {""node16"": 2}, ""ts"": 1765526141.144701}]"
2025-12-12T02:55:46.590747,35,READ,10,127.0.0.1:40012,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765526140.4484966}]"
2025-12-12T02:55:46.601151,16,READ,68,127.0.0.1:40018,True,"[{""value"": ""INIT"", ""vc"": {""node12"": 2}, ""ts"": 1765526140.3720682}]"
2025-12-12T02:55:46.641409,39,READ,153,127.0.0.1:40005,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765526142.4474125}]"
2025-12-12T02:55:46.643628,49,WRITE,181,127.0.0.1:40003,True,"{""value"": ""81619772"", ""vc"": {""node4"": 2, ""node3"": 2}, ""ts"": 1765526146.0166543}"
2025-12-12T02:55:46.713578,25,WRITE,168,127.0.0.1:40006,True,"{""value"": ""874320100"", ""vc"": {""node2"": 2, ""node6"": 2}, ""ts"": 1765526146.0010264}"
2025-12-12T02:55:46.731198,12,READ,107,127.0.0.1:40014,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765526140.3737147}]"
2025-12-12T02:55:46.735963,23,WRITE,103,127.0.0.1:40012,True,"{""value"": ""705624428"", ""vc"": {""node6"": 2, ""node12"": 2}, ""ts"": 1765526146.1199048}"
2025-12-12T02:55:46.739389,20,READ,139,127.0.0.1:40010,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765526141.870064}]"
2025-12-12T02:55:46.739982,13,WRITE,143,127.0.0.1:40019,True,"{""value"": ""386045018"", ""vc"": {""node2"": 2, ""node19"": 2}, ""ts"": 1765526146.0265322}"
2025-12-12T02:55:46.755256,48,READ,85,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node18"": 2}, ""ts"": 1765526138.7029085}]"
2025-12-12T02:55:46.835352,16,READ,27,127.0.0.1:40000,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765526139.1724377}]"
2025-12-12T02:55:46.955104,40,WRITE,50,127.0.0.1:40013,True,"{""value"": ""961834391"", ""vc"": {""node8"": 2, ""node13"": 2}, ""ts"": 1765526146.3211043}"
2025-12-12T02:55:46.957241,22,READ,78,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765526141.2897964}]"
2025-12-12T02:55:46.962135,46,WRITE,145,127.0.0.1:40006,True,"{""value"": ""860926156"", ""vc"": {""node13"": 2, ""node7"": 2, ""node6"": 2}, ""ts"": 1765526146.2286093}"
2025-12-12T02:55:46.965419,45,READ,169,127.0.0.1:40006,True,"[{""value"": ""INIT"", ""vc"": {""node17"": 2}, ""ts"": 1765526142.4371018}]"
2025-12-12T02:55:46.966063,6,WRITE,115,127.0.0.1:40006,True,"{""value"": ""682785448"", ""vc"": {""node15"": 2, ""node6"": 2}, ""ts"": 1765526146.5985827}"
2025-12-12T02:55:46.973870,44,READ,190,127.0.0.1:40013,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526142.6192868}]"
2025-12-12T02:55:46.975031,37,WRITE,52,127.0.0.1:40011,True,"{""value"": ""822406486"", ""vc"": {""node3"": 2, ""node11"": 2}, ""ts"": 1765526146.2554674}"
2025-12-12T02:55:46.975601,33,WRITE,114,127.0.0.1:40004,True,"{""value"": ""942986890"", ""vc"": {""node13"": 2, ""node4"": 2}, ""ts"": 1765526145.906469}"
2025-12-12T02:55:46.982559,34,READ,130,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node0"": 2}, ""ts"": 1765526141.7981954}]"
2025-12-12T02:55:46.990988,23,READ,60,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765526139.404099}]"
2025-12-12T02:55:47.026164,36,READ,15,127.0.0.1:40008,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765526139.5642102}]"
2025-12-12T02:55:47.137718,15,WRITE,86,127.0.0.1:40019,True,"{""value"": ""434150692"", ""vc"": {""node3"": 2, ""node19"": 2}, ""ts"": 1765526146.7885783}"
2025-12-12T02:55:47.185348,27,WRITE,39,127.0.0.1:40018,True,"{""value"": ""637495021"", ""vc"": {""node19"": 2, ""node18"": 2}, ""ts"": 1765526146.7599142}"
2025-12-12T02:55:47.198224,43,WRITE,35,127.0.0.1:40011,True,"{""value"": ""832932693"", ""vc"": {""node13"": 2, ""node11"": 2}, ""ts"": 1765526146.461493}"
2025-12-12T02:55:47.227771,17,WRITE,180,127.0.0.1:40013,True,"{""value"": ""33746973"", ""vc"": {""node18"": 2, ""node13"": 2}, ""ts"": 1765526146.6368053}"
2025-12-12T02:55:47.232917,42,READ,196,127.0.0.1:40013,True,"[{""value"": ""INIT"", ""vc"": {""node8"": 2}, ""ts"": 1765526141.9389374}]"
2025-12-12T02:55:47.303159,4,READ,122,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526143.021814}]"
2025-12-12T02:55:47.318667,2,WRITE,167,127.0.0.1:40017,True,"{""value"": ""941801146"", ""vc"": {""node6"": 2, ""node17"": 2}, ""ts"": 1765526146.2740967}"
2025-12-12T02:55:47.320652,31,READ,57,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765526139.5646791}]"
2025-12-12T02:55:47.339907,26,WRITE,64,127.0.0.1:40017,True,"{""value"": ""462529106"", ""vc"": {""node0"": 2, ""node17"": 2}, ""ts"": 1765526146.2742963}"
2025-12-12T02:55:47.381533,5,WRITE,137,127.0.0.1:40005,True,"{""value"": ""626521494"", ""vc"": {""node11"": 2, ""node5"": 2}, ""ts"": 1765526146.176869}"
2025-12-12T02:55:47.383633,47,WRITE,131,127.0.0.1:40005,True,"{""value"": ""271366764"", ""vc"": {""node2"": 2, ""node5"": 2}, ""ts"": 1765526146.3478622}"
2025-12-12T02:55:47.419377,18,WRITE,185,127.0.0.1:40011,True,"{""value"": ""949915315"", ""vc"": {""node3"": 2, ""node11"": 2}, ""ts"": 1765526146.4616914}"
2025-12-12T02:55:47.422768,38,READ,170,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765526142.2403}]"
2025-12-12T02:55:47.436030,3,READ,5,127.0.0.1:40008,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765526138.0935712}]"
2025-12-12T02:55:47.438053,49,READ,19,127.0.0.1:40002,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526141.7187116}]"
2025-12-12T02:55:47.447415,17,READ,192,127.0.0.1:40007,True,"[{""value"": ""INIT"", ""vc"": {""node17"": 2}, ""ts"": 1765526142.462966}]"
2025-12-12T02:55:47.537107,44,READ,89,127.0.0.1:40003,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765526139.3831658}]"
2025-12-12T02:55:47.550812,41,WRITE,132,127.0.0.1:40016,True,"{""value"": ""136590704"", ""vc"": {""node3"": 2, ""node16"": 2}, ""ts"": 1765526146.1486714}"
2025-12-12T02:55:47.594699,32,WRITE,137,127.0.0.1:40004,True,"{""value"": ""593778203"", ""vc"": {""node11"": 2, ""node4"": 2}, ""ts"": 1765526146.5453606}"
2025-12-12T02:55:47.614964,45,WRITE,136,127.0.0.1:40011,True,"{""value"": ""310417533"", ""vc"": {""node13"": 2, ""node11"": 2}, ""ts"": 1765526147.2033794}"
2025-12-12T02:55:47.617206,35,WRITE,40,127.0.0.1:40002,True,"{""value"": ""821023969"", ""vc"": {""node10"": 2, ""node2"": 2}, ""ts"": 1765526147.1347625}"
2025-12-12T02:55:47.620358,7,WRITE,158,127.0.0.1:40015,True,"{""value"": ""763076810"", ""vc"": {""node14"": 2, ""node15"": 2}, ""ts"": 1765526147.0707536}"
2025-12-12T02:55:47.625278,30,WRITE,96,127.0.0.1:40015,True,"{""value"": ""544562290"", ""vc"": {""node7"": 2, ""node15"": 2}, ""ts"": 1765526146.7162645}"
2025-12-12T02:55:47.627184,13,WRITE,73,127.0.0.1:40015,True,"{""value"": ""4410684"", ""vc"": {""node15"": 4}, ""ts"": 1765526147.2007337}"
2025-12-12T02:55:47.725396,24,WRITE,117,127.0.0.1:40003,True,"{""value"": ""826942505"", ""vc"": {""node12"": 2, ""node3"": 2}, ""ts"": 1765526146.9056528}"
2025-12-12T02:55:47.744248,8,WRITE,185,127.0.0.1:40008,True,"{""value"": ""186984898"", ""vc"": {""node3"": 2, ""node8"": 2}, ""ts"": 1765526146.598246}"
2025-12-12T02:55:47.764669,39,WRITE,118,127.0.0.1:40001,True,"{""value"": ""516066710"", ""vc"": {""node0"": 2, ""node1"": 2}, ""ts"": 1765526147.1893997}"
2025-12-12T02:55:47.798481,12,WRITE,1,127.0.0.1:40006,True,"{""value"": ""690785280"", ""vc"": {""node15"": 2, ""node6"": 2}, ""ts"": 1765526147.232986}"
2025-12-12T02:55:47.810085,40,WRITE,120,127.0.0.1:40000,True,"{""value"": ""775458004"", ""vc"": {""node17"": 2, ""node0"": 2}, ""ts"": 1765526147.3462524}"
2025-12-12T02:55:47.833026,5,READ,44,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765526139.6505861}]"
2025-12-12T02:55:47.899665,37,READ,98,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765526138.9644768}]"
2025-12-12T02:55:47.901875,6,READ,111,127.0.0.1:40003,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526141.9902756}]"
2025-12-12T02:55:47.905019,10,READ,42,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526141.94778}]"
2025-12-12T02:55:47.905655,47,READ,157,127.0.0.1:40019,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765526141.750839}]"
2025-12-12T02:55:47.908872,48,WRITE,112,127.0.0.1:40012,True,"{""value"": ""667347853"", ""vc"": {""node17"": 2, ""node12"": 2}, ""ts"": 1765526147.1737628}"
