ts,worker,op,key,node,success,versions_or_vc
2025-12-12T03:03:00.690469,46,READ,3,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765526576.6876917}]"
2025-12-12T03:03:00.857591,9,READ,8,127.0.0.1:40019,True,"[{""value"": ""INIT"", ""vc"": {""node13"": 2}, ""ts"": 1765526573.416924}]"
2025-12-12T03:03:00.874847,49,READ,81,127.0.0.1:40002,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765526575.4644456}]"
2025-12-12T03:03:00.880497,6,READ,144,127.0.0.1:40005,True,"[{""value"": ""INIT"", ""vc"": {""node0"": 2}, ""ts"": 1765526576.1374917}]"
2025-12-12T03:03:00.970775,33,READ,164,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node15"": 2}, ""ts"": 1765526576.5852993}]"
2025-12-12T03:03:00.972773,2,WRITE,53,127.0.0.1:40008,True,"{""value"": ""690028081"", ""vc"": {""node8"": 4}, ""ts"": 1765526580.6879349}"
2025-12-12T03:03:00.994166,8,READ,99,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765526574.1857316}]"
2025-12-12T03:03:01.024218,7,READ,118,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765526576.5070379}]"
2025-12-12T03:03:01.041219,18,READ,200,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765526576.9760585}]"
2025-12-12T03:03:01.063270,30,READ,141,127.0.0.1:40000,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765526576.2731924}]"
2025-12-12T03:03:01.089468,23,READ,20,127.0.0.1:40011,True,"[{""value"": ""INIT"", ""vc"": {""node12"": 2}, ""ts"": 1765526575.941417}]"
2025-12-12T03:03:01.091535,31,READ,141,127.0.0.1:40011,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765526576.2731924}]"
2025-12-12T03:03:01.219945,49,READ,83,127.0.0.1:40015,True,"[{""value"": ""22726584"", ""vc"": {""node2"": 2, ""node3"": 2}, ""ts"": 1765526581.2139072}]"
2025-12-12T03:03:01.270420,11,READ,198,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node15"": 2}, ""ts"": 1765526577.3785782}]"
2025-12-12T03:03:01.274640,22,READ,116,127.0.0.1:40016,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765526574.9770148}]"
2025-12-12T03:03:01.279653,39,READ,156,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765526576.2112072}]"
2025-12-12T03:03:01.375627,46,READ,110,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765526575.487064}]"
2025-12-12T03:03:01.387158,36,WRITE,82,127.0.0.1:40019,True,"{""value"": ""727670097"", ""vc"": {""node14"": 2, ""node19"": 2}, ""ts"": 1765526580.8564472}"
2025-12-12T03:03:01.387846,45,WRITE,103,127.0.0.1:40017,True,"{""value"": ""757956087"", ""vc"": {""node9"": 2, ""node17"": 2}, ""ts"": 1765526581.0560918}"
2025-12-12T03:03:01.390110,28,WRITE,91,127.0.0.1:40000,True,"{""value"": ""721260198"", ""vc"": {""node7"": 2, ""node0"": 2}, ""ts"": 1765526580.8519669}"
2025-12-12T03:03:01.451090,23,READ,141,127.0.0.1:40019,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765526576.2731924}]"
2025-12-12T03:03:01.458196,44,WRITE,154,127.0.0.1:40005,True,"{""value"": ""845666244"", ""vc"": {""node13"": 2, ""node5"": 2}, ""ts"": 1765526581.1451519}"
2025-12-12T03:03:01.470273,4,WRITE,126,127.0.0.1:40009,True,"{""value"": ""184214442"", ""vc"": {""node5"": 2, ""node9"": 2}, ""ts"": 1765526580.8738277}"
2025-12-12T03:03:01.488913,24,READ,124,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node10"": 2}, ""ts"": 1765526576.2701864}]"
2025-12-12T03:03:01.533739,43,WRITE,174,127.0.0.1:40011,True,"{""value"": ""593518951"", ""vc"": {""node16"": 2, ""node11"": 2}, ""ts"": 1765526581.0937924}"
2025-12-12T03:03:01.540192,49,READ,97,127.0.0.1:40019,True,"[{""value"": ""INIT"", ""vc"": {""node12"": 2}, ""ts"": 1765526574.8503087}]"
2025-12-12T03:03:01.587020,29,READ,19,127.0.0.1:40014,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765526575.7631912}]"
2025-12-12T03:03:01.610184,37,WRITE,157,127.0.0.1:40005,True,"{""value"": ""146522008"", ""vc"": {""node18"": 2, ""node5"": 2}, ""ts"": 1765526580.957588}"
2025-12-12T03:03:01.614079,14,WRITE,83,127.0.0.1:40003,True,"{""value"": ""22726584"", ""vc"": {""node2"": 2, ""node3"": 2}, ""ts"": 1765526580.8060768}"
2025-12-12T03:03:01.616620,31,READ,190,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node10"": 2}, ""ts"": 1765526577.8079302}]"
2025-12-12T03:03:01.621314,12,READ,192,127.0.0.1:40014,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765526577.4548032}]"
2025-12-12T03:03:01.623936,9,READ,4,127.0.0.1:40007,True,"[{""value"": ""INIT"", ""vc"": {""node13"": 2}, ""ts"": 1765526574.3782887}]"
2025-12-12T03:03:01.625959,21,READ,29,127.0.0.1:40007,True,"[{""value"": ""INIT"", ""vc"": {""node3"": 2}, ""ts"": 1765526574.658813}]"
