ts,worker,op,key,node,success,versions_or_vc
2025-12-12T05:45:19.333345,66,READ,27,127.0.0.1:40006,True,"[{""value"": ""INIT"", ""vc"": {""node7"": 2}, ""ts"": 1765536310.4353306}]"
2025-12-12T05:45:19.345462,78,READ,75,127.0.0.1:40013,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765536309.515327}]"
2025-12-12T05:45:19.353062,65,READ,101,127.0.0.1:40006,True,"[{""value"": ""INIT"", ""vc"": {""node15"": 2}, ""ts"": 1765536311.9504719}]"
2025-12-12T05:45:19.362760,10,READ,52,127.0.0.1:40007,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765536311.959626}]"
2025-12-12T05:45:19.404283,62,READ,64,127.0.0.1:40006,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765536310.5697558}]"
2025-12-12T05:45:19.421389,33,READ,75,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node9"": 2}, ""ts"": 1765536309.515327}]"
2025-12-12T05:45:19.529758,19,READ,14,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node3"": 2}, ""ts"": 1765536310.577433}]"
2025-12-12T05:45:19.531745,72,READ,173,127.0.0.1:40015,True,"[{""value"": ""INIT"", ""vc"": {""node14"": 2}, ""ts"": 1765536313.1697958}]"
2025-12-12T05:45:19.535489,7,READ,49,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765536311.9529123}]"
2025-12-12T05:45:19.537373,31,READ,77,127.0.0.1:40002,True,"[{""value"": ""INIT"", ""vc"": {""node18"": 2}, ""ts"": 1765536310.9930408}]"
2025-12-12T05:45:19.578787,23,READ,164,127.0.0.1:40014,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765536313.7078254}]"
2025-12-12T05:45:19.584711,61,READ,106,127.0.0.1:40001,True,"[{""value"": ""INIT"", ""vc"": {""node6"": 2}, ""ts"": 1765536310.7592254}]"
2025-12-12T05:45:19.622664,77,READ,137,127.0.0.1:40003,True,"[{""value"": ""INIT"", ""vc"": {""node5"": 2}, ""ts"": 1765536311.6951032}]"
2025-12-12T05:45:19.642877,87,READ,152,127.0.0.1:40013,True,"[{""value"": ""INIT"", ""vc"": {""node12"": 2}, ""ts"": 1765536313.5856688}]"
2025-12-12T05:45:19.723045,26,READ,196,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node2"": 2}, ""ts"": 1765536313.6464546}]"
2025-12-12T05:45:19.791813,12,READ,15,127.0.0.1:40006,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765536311.0728703}]"
2025-12-12T05:45:19.794555,59,READ,71,127.0.0.1:40005,True,"[{""value"": ""INIT"", ""vc"": {""node18"": 2}, ""ts"": 1765536310.7548363}]"
2025-12-12T05:45:19.853821,40,WRITE,38,127.0.0.1:40008,True,"{""value"": ""744266150"", ""vc"": {""node16"": 2, ""node8"": 2}, ""ts"": 1765536319.347186}"
2025-12-12T05:45:19.890181,34,READ,20,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765536310.529191}]"
2025-12-12T05:45:19.894428,2,READ,186,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node3"": 2}, ""ts"": 1765536314.190978}]"
2025-12-12T05:45:19.923691,84,READ,79,127.0.0.1:40003,True,"[{""value"": ""INIT"", ""vc"": {""node4"": 2}, ""ts"": 1765536309.3497586}]"
2025-12-12T05:45:19.924577,20,READ,182,127.0.0.1:40011,True,"[{""value"": ""INIT"", ""vc"": {""node18"": 2}, ""ts"": 1765536313.5428257}]"
2025-12-12T05:45:19.928258,58,WRITE,58,127.0.0.1:40009,True,"{""value"": ""570738605"", ""vc"": {""node3"": 2, ""node9"": 2}, ""ts"": 1765536319.6279294}"
2025-12-12T05:45:19.929031,89,READ,31,127.0.0.1:40009,True,"[{""value"": ""INIT"", ""vc"": {""node11"": 2}, ""ts"": 1765536312.0489674}]"
2025-12-12T05:45:19.929721,14,READ,181,127.0.0.1:40017,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765536313.655874}]"
2025-12-12T05:45:19.946125,11,READ,156,127.0.0.1:40004,True,"[{""value"": ""INIT"", ""vc"": {""node19"": 2}, ""ts"": 1765536313.5859253}]"
2025-12-12T05:45:19.946917,15,READ,57,127.0.0.1:40005,True,"[{""value"": ""INIT"", ""vc"": {""node18"": 2}, ""ts"": 1765536310.9573286}]"
2025-12-12T05:45:19.947659,67,READ,150,127.0.0.1:40005,True,"[{""value"": ""INIT"", ""vc"": {""node1"": 2}, ""ts"": 1765536313.0262449}]"
2025-12-12T05:45:19.953632,91,WRITE,101,127.0.0.1:40008,True,"{""value"": ""994713642"", ""vc"": {""node15"": 2, ""node8"": 2}, ""ts"": 1765536319.4702075}"
2025-12-12T05:45:20.049169,22,READ,169,127.0.0.1:40000,True,"[{""value"": ""INIT"", ""vc"": {""node12"": 2}, ""ts"": 1765536313.278447}]"
